Chongqing_Rail_Transit-6.html	transit system:city of Chongqing
Brian_MacLellan-3.html	Brian John MacLellan:ice hockey:Washington Capitals
Kienan_LaFrance-1.html	football:CFL
Lianhang_Road_station-6.html	Shanghai Metro:station:Line 8
Dean_Evason-3.html	coach:Kamloops Junior Oilers
Arba,_Friuli-Venezia_Giulia-0.html	Friuli-Venezia Giulia:Location
Landa_Bazar_(TV_series)-0.html	television:drama:Babar Ali
Shanghai_Metropolitan_Area_Intercity_Railway-6.html	Railway System:Shanghai metropolitan area
ETI_Telecom-2.html	company:ETI
Tall_Poppy_(horse)-4.html	broodmare:race:Japanese horse
Marialite_(horse)-4.html	Takashi Kubota:Northern Farm bred
Eric_Mezzalira-1.html	Winnipeg Blue Bombers:linebacker Canadian Football League
Nic_Dowd-3.html	Nicholas Dowd:Washington Capitals Center
Line_11_(Shanghai_Metro)-6.html	Shanghai Circuit Depot:Kunshan
Petite_messe_solennelle-5.html	Little solemn mass:14 March 1864
Fernando_De_Lucia-5.html	Italian opera:Fernando de:verismo
Pinzano_al_Tagliamento-0.html	Friuli-Venezia Giulia:Pordenone
Kenny_Berkenbosch-7.html	Dutch baseball:10 Kenny Berkenbosch
List_of_Washington_Capitals_players-3.html	captain Capitals:ice hockey players played for Washington
Mikaël_Charland-1.html	Edmonton Eskimos defensive:Grey Cup champion 2016
Robert_Morey_(baseball)-7.html	free agent pitcher:Brother Elephants 2016
Todd_Reirden-3.html	Pittsburgh Penguins coach:assistant coach
Lei_Papale-4.html	Deep Impact Sire:Tomokazu Takano
Mike_Ekstrom-7.html	MLB debut 2008:Michael Robert Ekstrom:San Diego Padres pitcher 
Cleyon_Laing-1.html	Ottawa Redblacks Defensive lineman:2012 CFL Draft
Chrono_Genesis-4.html	Sire Bago:Takashi Saito
List_of_compositions_by_Thomas_Tallis-5.html	Thomas Tallis:Salve Intemerata
Arab_Struggle_Movement_for_the_Liberation_of_Ahwaz-2.html	Arab separatist:ASMLA
Saudi_Arabia–United_Kingdom_relations-2.html	Kingdom of Saudi Arabia:British government:allies
Lucky_Lilac-4.html	Mikio Matsunaga:chestnut mare:Orfevre
Alexander_Ovechkin-3.html	left wing:Ovi:the most power play goals
Nicklas_Bäckström-3.html	Swedish centre Washington:Nicklas:father Anders
Sinhalite_(horse)-4.html	Sei Ishizaka:Sunday Silence:JRA Award
Denmark–Georgia_relations-2.html	between Denmark and Georgia:Danish:Georgian
Sacred_Arias_(Andrea_Bocelli_album)-5.html	Bocelli:classical album:sacre
Sequals-0.html	Italy:Solimbergo:Location of Sequals
Jean-Simon_Roy-1.html	Vanier Cup champion:offensive lineman
Bahrain–Iran_relations-2.html	Bahrain and Iran:relations with
Jiangyue_Road_station-6.html	Jiangyue Road:Elevated station
Juwan_Brescacin-1.html	Wide receiver CFL:Toronto Argonauts
Requiem_(Verdi)-5.html	Messa da Requiem:Giuseppe Verdi
Philip_Dale-7.html	minor league Dale:the first Australian 4-year scholarship
Saudi_Arabia–Syria_relations-2.html	between Saudi Arabia and Syria:Syrian Civil War
Line_19_(Beijing_Subway)-6.html	rapid transit line:Beijing Metro
Shawn_Lemon-1.html	Calgary Stampeders defensive:American CFL
Uberleben-4.html	Big Red Farm:Thoroughbred Club:Gold Ship Sire
Kashif_Mehmood-0.html	Pakistani television actor:Ashiyana
Jefry_Rodríguez-7.html	pitcher Washington Nationals:Jefry Osvaldo MLB
Denmark–Philippines_relations-2.html	between Denmark and the Philippines:Manila, Copenhagen 
Sequal_(group)-0.html	Latin duo Miami:Vollaro and Christensen
Cavasso_Nuovo-0.html	Pordenone:Location of Cavasso
Loves_Only_You-4.html	Deep Impact sire:Sunday Silence
Scott_Stevens-3.html	Hockey Hall of Fame 2007:Ronald Scott coach
Mike_Gartner-3.html	right winger Canada:Michael Alfred hockey
Giuseppe_Valdengo-5.html	Italian baritone:opera Valdengo
Jussi_Björling-5.html	Swedish opera:Bjoerling or Bjorling
Tanner_Roark-7.html	Roark baseball:World Baseball 2017 
Ayusan-4.html	Shimokobe Farm:Ayusan horse
Grayson_Garvin-7.html	Georgia baseball:Garvin pitcher
Shaoxing_Metro-6.html	Shaoxing Rail Transit:Line 1 Jiaxing
Guangzhou–Shenzhen_intercity_railway-6.html	Suishen intercity railway:Pearl River metro
Kevin_Hatcher-3.html	Hatcher Defense hockey
Ervin_Santana-7.html	Ramon pitcher:Johan Santana
Chengdu_Metro-6.html	rapid transit Chengdu
Bob_Friend-7.html	Robert Friend baseball:final season 1966
Shijiazhuang_Metro-6.html	SJZ Metro:rapid transit Shijiazhuang
Sequal-0.html	Sequal refer:misspell for sequel
Seranthony_Domínguez-7.html	Dominican pitcher:Seranthony Ambioris
Pujiang_Town_station-6.html	Line 8 Shanghai Metro:extension Line 8:Pujiang Town
Reine_Minoru-4.html	Masaru Honda:Kokura Nisai Stakes
SEQUAL_framework-0.html	quality framework:John Krogstie
Enrico_Caruso_compact_disc_discography-5.html	record Enrico Caruso
Danon_Fantasy-4.html	Mitsumasa Nakauchida:Best Two-Year-Old Filly JRA
Bruce_Boudreau-3.html	Allan Boudreau:Vancouver head coach
Tanner_Doll-1.html	snapper Doll 
Seasons_Change_(song)-0.html	Lewis Martine pop:Exposure 1987
Sparks_in_the_Park-0.html	firework Wales:Bute Park event
Saudi_Arabia–Thailand_relations-2.html	between Saudi Arabia and Thailand
Iran–Saudi_Arabia_relations-2.html	between Iran and Saudi Arabia
Peter_Bondra-3.html	Bondra Soviet:Slovak hockey
The_Rossini_Bicentennial_Birthday_Gala-5.html	live album Gioachino:Rossini music
Rosa_Ponselle-5.html	Rosa Ponzillo:American opera soprano
Line_11_(Beijing_Subway)-6.html	Rapid Transit Beijing
Canada–Saudi_Arabia_relations-2.html	between Canada and Saudi Arabia
Timeline_of_the_Jyllands-Posten_Muhammad_cartoons_controversy-2.html	Jyllands-Posten:Pakistan cartoons
Albert_Suárez-7.html	Venezuela baseball Albert:KBO
John_Carlson_(ice_hockey)-3.html	Carlson with Capitals:Stanley Cup 18
Gloria_(Vivaldi)-5.html	Antonio Vivaldi:Gloria in excelsis Deo
Jackson_Bennett-1.html	running back Ottawa:Bennett CFL
Travesio-0.html	Province of Pordenone
Yangsi_station-6.html	Yangsi Metro:town Yangsi
Jake_Harty-1.html	Jake Paul receiver:Canadian receiver Saskatchewan
Johnny_Antonelli-7.html	starting pitcher August:World Series 1954
Francesco_Meli-5.html	Meli Genoa tenor
Straight_Girl-4.html	Hideaki Fujiwara:Fuji Kiseki sire
Saudi_Arabia–South_Africa_relations-2.html	between Saudi Arabia and South Africa
Lingzhao_Xincun_station-6.html	Lingzhao metro:Pudong
John_Krogstie-0.html	Norwegian University Technology:modeling
Aventura_(horse)-4.html	Jungle Pocket sire:2011 JRA Aventura
Jason_Lauzon-Séguin-1.html	Jason Canadian offensive lineman
Adam_Thibault-1.html	Toronto Argonauts defensive back:Grey Cup 102, 106
Shonan_Pandora-4.html	Cutie Gold Dam:Japan Cup 2015:Pandora
2018_Ottawa_Redblacks_season-1.html	fifth season Ottawa:Grey Cup 106
Line_13_(Beijing_Subway)-6.html	Beijing metro
Cristopher_Mercedes-7.html	Crisostomo baseball
Foreign_relations_of_Saudi_Arabia-2.html	Saudi Arabian policy
Eduardo_Morlan-7.html	baseball Del Rio
Jay_Beagle-3.html	Arizona centre:Beagle Canadian hockey 
Sequal_(album)-0.html	Cherry album
Line_17_(Shanghai_Metro)-6.html	Qingpu line:rapid transit
The_Great_Caruso-5.html	Mario Lanza film:Mario Lanza directed
Williams_Pérez-7.html	Williams Montes
Rod_Langway-3.html	Rodney Langway:defenseman Montreal
Faisal_bin_Farhan_Al_Saud-2.html	Prince Faisal:Frankfurt Farhan
Denmark–Iran_relations-2.html	Iran and Denmark:Iranian,Danish
Bartolo_Colón-7.html	Big Sexy:Dominican baseball pitcher
Joie_de_Vivre_(horse)-4.html	Hanshin Juvenile Fillies:Sunday Silence
Aaron_Harang-7.html	Aaron Michael baseball
Scott_Kazmir-7.html	Scott Scott baseball
Australia–Denmark_relations-2.html	between Australia and Denmark
Dennis_Maruk-3.html	John Maruk Ukrainian hockey
Palasport_Primo_Carnera-0.html	arena Udine:basketball arena
I'm_Over_You-0.html	Over You:song
Marco_Dubois-1.html	Ottawa Redblacks wide receiver
Urban_rail_transit_in_China-6.html	suburban China:transit systems
Ettore_Lattanzio-1.html	Redblacks:defensive lineman Lattanzio
Iraq–Saudi_Arabia_relations-2.html	between Republic Iraq and Kingdom Saudi
T._J._Oshie-3.html	St. Louis Blues Former:right Washington Capitals
Meisho_Mambo-4.html	Akihiro Iida and Yuji Iida:Suzuka Mambo sire
Evan_Johnson-1.html	Saskatchewan Evan:CFL Johnson
Sodashi_(horse)-4.html	Kurofune Sire:Filly Sodashi
Because_(Guy_d'Hardelot_and_Edward_Teschemacher_song)-5.html	Teschemacher lyrics
Denmark–Ghana_relations-2.html	between Denmark and Ghana:development relations
Ripa_Teatina-0.html	Abruzzo province of Chieti
Tom_Stuifbergen-7.html	Amsterdam pitcher Stuifbergen
Stefano_Balassone-0.html	Balassone producer
Meduno-0.html	Cavasso Nuovo:Meduno Friuli-Venezia Giulia
Denmark–Ireland_relations-2.html	Danish and Irish
Barbara_Frittoli-5.html	Verdi and Mozart soprano:Frittoli Milan
Lanzhou_Metro-6.html	Rail Transit:Gansu Metro
Gentildonna-4.html	Donna Blini:Dubai Sheema Classic 2014:Arima Kinen 2014
Jan_Peerce-5.html	Jacob Pincus:Broadway operatic tenor
Akaitorino_Musume-4.html	Sakae Kunieda Trainer:Apapane Dam
Brad_Sinopoli-1.html	Calgary Stampeders quarterback:Bradley Canadian football
Craig_Laughlin-3.html	right Washington:Alan Laughlin
Lars_Eller-3.html	St. Louis Blues former
Randy_Richards-1.html	offensive lineman Grey Cup 2018
Mikki_Queen-4.html	Yasutoshi Ikee:Musical Way Dam:Queen horse
Michael_Nylander-3.html	Nylander centre Swedish 
The_Hit_Factory_Volume_2-0.html	Fanfare Records:PWL Records:Stock Aitken Waterman
Andrew_Marshall_(Canadian_football)-1.html	Calgary Stampeders Marshall
Adel_al-Jubeir-2.html	Saudi diplomat:Saudi Minister
Enrico_Caruso-5.html	Metropolitan Opera:Italian tenor Enrico 
The_Best_Classics..._Ever!-5.html	EMI compilation
Pinggu_line-6.html	Beijing Subway:rapid transit:Line 22
Jacob_Scarfone-1.html	BC Lions receiver:Scarfone football CFL
Marcos_Mateo-7.html	Dominican Marcos pitcher:Chicago Cubs Mateo
Line_18_(Chengdu_Metro)-6.html	Chengdu rapid transit:Chengdu Tianfu International Airport
